id,user_id,age,occupation,gender
132,48842,24,scientist,M
133,18517,20,sales/marketing,M
134,32800,25,executive/managerial,M
135,97444,31,executive/managerial,M
136,16982,32,college/grad student,M
137,35634,33,other or not specified,M
138,10149,28,self-employed,M
139,62402,31,college/grad student,M
140,50906,27,college/grad student,M
141,57824,30,college/grad student,M
142,80774,34,college/grad student,M
143,93468,59,lawyer,F
144,36713,18,homemaker,M
145,66201,42,sales/marketing,M
146,27605,37,retired,M
147,39365,21,K-12 student,F
148,81672,31,executive/managerial,M
149,37554,43,scientist,M
150,29071,31,sales/marketing,M
151,17788,24,programmer,M
152,60403,25,scientist,M
153,36451,34,sales/marketing,M
154,60188,27,sales/marketing,M
155,89375,18,artist,F
156,80889,26,executive/managerial,M
157,3460,31,college/grad student,M
158,83447,28,college/grad student,M
159,77322,26,clerical/admin,M
160,7400,33,self-employed,M
161,9433,27,college/grad student,M
162,49026,27,sales/marketing,M
163,1137,29,academic/educator,M
164,71790,55,other or not specified,M
165,102544,26,sales/marketing,M
166,16086,32,executive/managerial,M
167,93796,30,lawyer,M
168,93548,18,artist,M
169,54948,33,executive/managerial,M
170,3021,33,academic/educator,F
171,2341,28,executive/managerial,M
172,1939,26,college/grad student,M
173,41133,32,other or not specified,M
174,23369,28,executive/managerial,M
175,48832,63,college/grad student,M
176,15239,42,other or not specified,M
177,28526,28,self-employed,M
178,80249,28,doctor/health care,M
179,37746,30,executive/managerial,M
180,13740,28,executive/managerial,M
181,97974,32,executive/managerial,M
182,26250,25,executive/managerial,M
183,40800,27,scientist,M
184,56870,30,artist,M
185,81016,33,other or not specified,F
186,25904,27,college/grad student,M
187,9383,34,executive/managerial,M
188,80709,32,technician/engineer,M
189,20520,26,scientist,M
190,1808,30,scientist,M
191,61417,25,other or not specified,M
192,99645,69,retired,F
193,43615,31,sales/marketing,M
194,51622,41,academic/educator,F
195,62622,32,scientist,M
196,58730,28,sales/marketing,M
197,38662,56,executive/managerial,M
198,11372,32,college/grad student,M
199,96156,28,scientist,F
200,45042,25,college/grad student,M
201,44276,31,scientist,M
202,6167,34,scientist,M
203,97738,29,clerical/admin,M
204,47622,32,scientist,M
205,31917,25,self-employed,M
206,93365,20,clerical/admin,M
207,91648,29,college/grad student,M
208,100671,32,college/grad student,M
209,53396,31,self-employed,M
210,81828,32,college/grad student,F
211,89676,32,college/grad student,M
212,6466,20,college/grad student,M
213,25444,27,sales/marketing,M
214,99152,34,homemaker,M
215,25082,28,college/grad student,M
216,94755,33,college/grad student,M
217,62414,30,college/grad student,M
218,73633,32,college/grad student,M
219,76004,31,scientist,M
220,46842,31,other or not specified,M
221,42491,28,sales/marketing,M
222,42533,32,college/grad student,M
223,43990,21,executive/managerial,M
224,23665,27,doctor/health care,M
225,22788,30,college/grad student,M
226,73817,18,sales/marketing,M
227,36224,30,scientist,M
228,1544,34,executive/managerial,M
229,25380,21,K-12 student,M
230,10244,29,executive/managerial,M
231,85189,18,K-12 student,M
232,19291,25,sales/marketing,M
233,87875,44,executive/managerial,M
234,4714,26,sales/marketing,M
235,43057,33,college/grad student,M
236,62269,25,sales/marketing,M
237,69095,31,college/grad student,M
238,102237,33,programmer,M
239,57415,30,other or not specified,M
240,73213,41,unemployed,M
241,29609,27,executive/managerial,M
242,56537,33,other or not specified,M
243,25712,28,self-employed,F
244,28610,29,academic/educator,M
245,96812,32,college/grad student,M
246,46510,25,college/grad student,M
247,15547,28,college/grad student,M
248,66714,32,other or not specified,M
249,14358,64,retired,F
250,30743,33,executive/managerial,M
251,87098,30,college/grad student,M
252,7341,32,executive/managerial,M
253,55345,27,artist,M
254,14235,26,executive/managerial,M
255,23137,29,executive/managerial,M
256,43816,28,other or not specified,M
257,32987,25,technician/engineer,M
258,35278,30,K-12 student,M
259,83220,34,other or not specified,F
260,77562,28,academic/educator,F
261,78806,44,sales/marketing,M
262,94882,26,college/grad student,M
263,70502,23,sales/marketing,F
264,63619,55,executive/managerial,F
265,100547,35,college/grad student,M
266,55307,32,sales/marketing,M
267,12426,24,college/grad student,M
268,1001,28,artist,M
269,48199,31,college/grad student,M
270,20352,18,K-12 student,M
271,19406,24,customer service,M
272,89503,33,scientist,M
273,95280,25,college/grad student,M
274,70185,28,executive/managerial,M
275,97014,32,executive/managerial,F
276,44960,29,executive/managerial,F
277,36732,26,college/grad student,M
278,17907,50,executive/managerial,M
279,42080,31,college/grad student,M
280,53993,34,executive/managerial,M
281,59476,25,sales/marketing,M
282,14124,26,college/grad student,M
283,76977,25,scientist,M
284,55045,34,scientist,M
285,35791,25,sales/marketing,F
286,49582,30,self-employed,M
287,14414,24,sales/marketing,M
288,55540,27,scientist,M
289,62228,29,executive/managerial,M
290,91263,28,executive/managerial,M
291,80969,28,executive/managerial,M
292,15325,31,college/grad student,M
293,19347,29,executive/managerial,M
294,9786,27,college/grad student,M
295,16353,42,college/grad student,F
296,11880,26,K-12 student,M
297,46361,25,programmer,M
298,89250,34,other or not specified,F
299,22140,19,sales/marketing,M
300,77598,34,scientist,F
301,17791,33,college/grad student,M
302,39961,28,other or not specified,F
303,45582,26,homemaker,M
304,81287,28,scientist,M
305,37028,25,sales/marketing,M
306,92972,27,college/grad student,F
307,17950,25,college/grad student,F
308,71323,34,college/grad student,M
309,55875,18,K-12 student,F
310,72314,32,other or not specified,F
311,57086,33,other or not specified,M
312,53620,29,sales/marketing,M
313,53001,27,executive/managerial,M
314,16498,22,artist,M
315,80329,31,other or not specified,M
316,9892,18,K-12 student,F
317,14377,27,clerical/admin,M
318,83425,37,other or not specified,M
319,54474,28,other or not specified,M
320,39080,35,executive/managerial,M
321,59872,28,other or not specified,F
322,88413,27,other or not specified,M
323,74455,28,sales/marketing,M
324,49014,29,tradesman/craftsman,M
325,79314,25,sales/marketing,M
326,31605,30,college/grad student,F
327,18897,44,sales/marketing,M
328,13373,33,sales/marketing,M
329,9494,26,college/grad student,M
330,10715,28,executive/managerial,M
331,82658,28,homemaker,F
332,30895,26,academic/educator,M
333,87879,31,scientist,M
334,2117,34,sales/marketing,M
335,37938,30,college/grad student,M
336,50660,25,clerical/admin,F
337,47100,19,scientist,M
338,16559,28,college/grad student,F
339,98222,32,technician/engineer,M
340,103327,31,executive/managerial,M
341,28120,39,executive/managerial,M
342,62318,29,academic/educator,M
343,100515,26,academic/educator,F
344,95786,25,college/grad student,M
345,61039,33,academic/educator,F
346,15532,22,sales/marketing,M
347,56071,30,sales/marketing,M
348,99085,26,college/grad student,M
349,43421,30,college/grad student,M
350,22424,30,college/grad student,M
351,52145,29,executive/managerial,M
352,102609,26,college/grad student,M
353,7452,28,sales/marketing,M
354,26670,30,executive/managerial,M
355,59440,28,scientist,M
356,71309,27,academic/educator,F
357,78213,32,college/grad student,M
358,7669,28,scientist,M
359,54674,27,sales/marketing,M
360,71532,24,sales/marketing,M
361,92951,30,other or not specified,F
362,45544,25,lawyer,M
363,87234,53,executive/managerial,M
364,32083,29,executive/managerial,M
365,92313,25,technician/engineer,M
366,74470,33,other or not specified,M
367,52505,31,scientist,M
368,68381,28,college/grad student,M
369,23842,28,sales/marketing,M
370,69637,18,K-12 student,M
371,84172,34,college/grad student,M
372,29375,34,homemaker,M
373,64444,31,scientist,M
374,50001,27,self-employed,M
375,34149,36,self-employed,F
376,19059,28,scientist,M
377,14409,32,sales/marketing,M
378,84281,28,executive/managerial,M
379,100053,29,self-employed,F
380,21624,26,scientist,M
381,96979,27,college/grad student,F
382,13834,41,academic/educator,M
383,49496,25,scientist,M
384,24258,10,self-employed,M
385,74671,34,executive/managerial,M
386,94564,25,executive/managerial,M
387,23929,26,executive/managerial,M
388,44661,30,college/grad student,M
389,42255,31,executive/managerial,F
390,63840,34,homemaker,M
391,99072,29,K-12 student,M
392,45168,30,college/grad student,M
393,89636,30,college/grad student,M
394,78126,32,other or not specified,M
395,6530,33,customer service,M
396,90843,31,college/grad student,M
397,72339,32,college/grad student,M
398,53115,22,other or not specified,M
399,247,28,sales/marketing,M
400,13722,28,programmer,M
401,96125,33,executive/managerial,F
402,43452,31,executive/managerial,M
403,73540,27,college/grad student,M
404,3794,27,college/grad student,M
405,5316,34,college/grad student,M
406,30230,33,scientist,F
407,20011,29,sales/marketing,M
408,103304,31,other or not specified,F
409,48830,28,other or not specified,F
410,96926,30,technician/engineer,M
411,36568,25,college/grad student,M
412,75102,34,doctor/health care,M
413,30375,32,sales/marketing,M
414,60334,25,self-employed,M
415,22328,27,scientist,M
416,69879,25,self-employed,M
417,5288,26,scientist,M
418,55448,27,executive/managerial,M
419,70223,26,executive/managerial,M
420,1767,31,self-employed,M
421,70060,28,other or not specified,F
422,23460,32,sales/marketing,F
423,46976,26,self-employed,F
424,40334,27,scientist,M
425,20527,34,college/grad student,M
426,63715,32,executive/managerial,M
427,74099,25,executive/managerial,M
428,14399,30,college/grad student,M
429,103666,32,other or not specified,M
430,98930,30,academic/educator,F
431,87968,29,college/grad student,M
432,3434,30,college/grad student,M
433,59194,33,academic/educator,M
434,82408,34,executive/managerial,M
435,73227,29,self-employed,M
436,66939,28,executive/managerial,M
437,102563,24,scientist,M
438,2094,34,other or not specified,M
439,84855,25,sales/marketing,M
440,70055,34,college/grad student,F
441,101100,31,sales/marketing,M
442,63356,24,programmer,M
443,94310,25,scientist,M
444,52773,30,college/grad student,F
445,28377,32,scientist,M
446,98909,29,sales/marketing,M
447,51953,28,executive/managerial,M
448,81970,25,sales/marketing,M
449,3959,33,college/grad student,M
450,56584,32,other or not specified,M
451,31220,34,executive/managerial,M
452,91408,34,self-employed,M
453,61766,29,scientist,F
454,41694,34,scientist,M
455,99248,30,artist,F
456,55002,31,K-12 student,F
457,26831,19,K-12 student,M
458,45918,32,self-employed,M
459,100390,27,other or not specified,M
460,86781,27,college/grad student,M
461,88156,22,sales/marketing,M
462,34584,30,artist,M
463,67319,30,self-employed,M
464,91041,27,executive/managerial,M
465,69312,27,college/grad student,M
466,44838,29,executive/managerial,F
467,32098,27,college/grad student,M
468,52851,23,sales/marketing,M
469,53492,30,technician/engineer,M
470,50982,28,artist,M
471,85702,27,technician/engineer,M
472,32388,31,programmer,M
473,79477,18,K-12 student,M
474,14665,34,sales/marketing,M
475,47654,34,homemaker,M
476,1823,27,executive/managerial,M
477,62706,29,sales/marketing,M
478,23914,84,academic/educator,F
479,44848,22,technician/engineer,M
480,15066,29,sales/marketing,M
481,78113,18,K-12 student,M
482,76064,29,college/grad student,F
483,4097,31,homemaker,M
484,30799,30,sales/marketing,M
485,87157,34,self-employed,M
486,29920,28,college/grad student,M
487,22947,31,executive/managerial,M
488,73531,26,college/grad student,M
489,40600,24,other or not specified,M
490,68486,26,executive/managerial,M
491,84031,27,artist,M
492,47934,34,homemaker,M
493,91971,30,college/grad student,M
494,68330,26,technician/engineer,M
495,24146,34,college/grad student,M
496,27529,28,sales/marketing,M
497,84310,31,college/grad student,M
498,31151,33,sales/marketing,M
499,60371,19,sales/marketing,M
500,79975,34,executive/managerial,M
501,60285,30,college/grad student,M
502,4650,29,writer,F
503,6317,29,scientist,M
504,72550,30,college/grad student,M
505,49547,34,self-employed,M
506,84581,30,artist,M
507,60567,31,other or not specified,M
508,17594,67,retired,M
509,70278,25,programmer,M
510,21876,25,executive/managerial,M
511,33431,25,executive/managerial,M
512,13626,83,executive/managerial,M
513,35007,29,college/grad student,M
514,67678,30,college/grad student,F
515,47618,31,sales/marketing,M
516,47318,25,executive/managerial,M
517,22970,26,homemaker,F
518,69569,28,college/grad student,F
519,44970,30,self-employed,F
520,82717,39,other or not specified,M
521,34563,34,college/grad student,M
522,50460,27,other or not specified,M
523,3414,33,college/grad student,F
524,74612,26,college/grad student,M
525,29723,43,academic/educator,F
526,30991,78,executive/managerial,M
527,52377,25,college/grad student,M
528,8150,29,scientist,M
529,19027,32,other or not specified,M
530,79725,43,sales/marketing,F
531,44779,28,self-employed,M
532,94322,31,college/grad student,F
533,24560,26,college/grad student,M
534,40956,26,self-employed,M
535,89549,17,K-12 student,F
536,15472,25,self-employed,M
537,38172,30,self-employed,M
538,46537,28,college/grad student,M
539,45419,34,other or not specified,M
540,4835,28,executive/managerial,F
541,73131,28,self-employed,M
542,82604,27,college/grad student,M
543,74050,30,college/grad student,M
544,54774,33,self-employed,M
545,59818,32,other or not specified,M
546,49271,28,tradesman/craftsman,M
547,73644,26,scientist,M
548,28718,82,sales/marketing,F
549,70188,63,retired,M
550,11881,34,homemaker,F
551,80316,30,scientist,M
552,89537,36,academic/educator,M
553,53795,32,sales/marketing,M
554,43248,28,sales/marketing,M
555,79624,25,clerical/admin,M
556,28266,18,K-12 student,M
557,72222,25,college/grad student,M
558,12030,18,scientist,M
559,52255,30,college/grad student,M
560,75034,19,self-employed,F
561,81750,26,scientist,M
562,55451,34,executive/managerial,M
563,75274,31,other or not specified,F
564,40225,34,college/grad student,M
565,9648,33,college/grad student,M
566,25359,34,executive/managerial,M
567,39720,34,executive/managerial,M
568,63364,26,other or not specified,M
569,16572,30,executive/managerial,M
570,78242,25,executive/managerial,M
571,8887,26,self-employed,F
572,47511,26,executive/managerial,M
573,27948,34,college/grad student,M
574,49236,26,scientist,M
575,11256,32,executive/managerial,F
576,34929,31,sales/marketing,M
577,70429,25,scientist,M
578,65296,25,college/grad student,M
579,14856,26,sales/marketing,M
580,88303,32,scientist,M
581,59555,34,executive/managerial,M
582,37766,26,college/grad student,F
583,73082,28,self-employed,F
584,69707,31,homemaker,F
585,54031,28,college/grad student,M
586,59692,31,college/grad student,M
587,24437,85,executive/managerial,M
588,7601,18,customer service,M
589,47913,34,college/grad student,M
590,102007,43,executive/managerial,M
591,27155,37,executive/managerial,M
592,30308,26,sales/marketing,M
593,88435,31,self-employed,F
594,19159,32,sales/marketing,M
595,4992,27,scientist,M
596,44442,29,executive/managerial,M
597,6106,31,college/grad student,M
598,90113,9,sales/marketing,M
599,97296,25,executive/managerial,M
600,21506,22,K-12 student,M
601,85285,30,college/grad student,M
602,94472,33,self-employed,M
603,26814,22,other or not specified,M
604,84260,27,scientist,M
605,23002,33,academic/educator,F
606,71562,26,scientist,M
607,64952,26,tradesman/craftsman,M
608,95304,31,college/grad student,M
609,4870,26,sales/marketing,M
610,50576,30,homemaker,M
611,34398,27,scientist,M
612,67474,31,college/grad student,M
613,101501,30,executive/managerial,M
614,47932,23,scientist,M
615,87017,25,academic/educator,M
616,37009,30,scientist,M
617,62969,26,college/grad student,M
618,90891,34,academic/educator,M
619,13650,27,other or not specified,M
620,69237,21,scientist,M
621,35349,33,college/grad student,M
622,100158,32,other or not specified,M
623,21748,32,executive/managerial,M
624,103336,23,sales/marketing,M
625,55098,26,self-employed,M
626,36070,26,college/grad student,M
627,43097,28,college/grad student,M
628,55907,32,sales/marketing,M
629,32522,18,K-12 student,M
630,79382,28,sales/marketing,M
631,75816,30,college/grad student,M
632,88388,26,college/grad student,F
633,27868,34,homemaker,F
634,27083,34,self-employed,M
635,19127,34,executive/managerial,M
636,12617,30,executive/managerial,F
637,33976,43,executive/managerial,M
638,29564,26,artist,M
639,98370,30,sales/marketing,M
640,58016,28,other or not specified,M
641,22820,25,college/grad student,M
642,27910,26,executive/managerial,M
643,88084,77,other or not specified,M
644,38234,53,executive/managerial,M
645,101399,26,homemaker,M
646,91120,27,sales/marketing,M
647,81618,31,executive/managerial,M
648,36487,31,college/grad student,M
649,44503,21,K-12 student,F
650,6463,31,executive/managerial,M
651,39634,26,college/grad student,F
652,57911,28,homemaker,F
653,42781,32,scientist,F
654,60648,25,college/grad student,F
655,81995,27,scientist,M
656,67804,19,homemaker,M
657,11816,30,college/grad student,M
658,52431,18,college/grad student,M
659,10093,32,executive/managerial,M
660,102708,29,academic/educator,M
661,77097,18,K-12 student,M
662,29223,21,sales/marketing,M
663,7115,27,executive/managerial,M
664,58622,31,college/grad student,M
665,25246,27,executive/managerial,M
666,23406,25,sales/marketing,M
667,82091,28,sales/marketing,M
668,39484,29,executive/managerial,M
669,11186,49,K-12 student,F
670,93119,18,artist,F
671,39606,32,scientist,M
672,58392,25,scientist,M
673,72186,21,K-12 student,M
674,31850,28,college/grad student,M
675,67442,30,scientist,M
676,73141,12,K-12 student,M
677,89569,34,self-employed,M
678,92509,34,executive/managerial,M
679,56,32,self-employed,M
680,102082,29,self-employed,M
681,90163,24,clerical/admin,M
682,1924,33,college/grad student,M
683,64302,32,executive/managerial,M
684,33019,32,executive/managerial,M
685,96339,34,college/grad student,M
686,69439,18,college/grad student,M
687,64665,28,homemaker,F
688,93934,28,college/grad student,M
689,77276,36,executive/managerial,M
690,74786,31,self-employed,M
691,94810,34,sales/marketing,M
692,49315,33,self-employed,M
693,80132,30,college/grad student,M
694,36137,27,executive/managerial,M
695,95680,54,academic/educator,F
696,22602,28,sales/marketing,M
697,19490,31,college/grad student,M
698,8519,64,retired,F
699,71905,30,college/grad student,M
700,66800,30,executive/managerial,M
701,47298,34,executive/managerial,M
702,22614,34,scientist,M
703,82697,31,college/grad student,M
704,52653,28,academic/educator,F
705,81202,26,self-employed,F
706,87992,31,sales/marketing,M
707,3534,19,sales/marketing,M
708,5390,26,college/grad student,M
709,18388,34,executive/managerial,M
710,29103,34,college/grad student,M
711,66004,29,other or not specified,M
712,48939,22,scientist,M
713,21538,18,sales/marketing,M
714,92438,27,academic/educator,F
715,35345,34,scientist,M
716,85607,26,programmer,M
717,23455,32,homemaker,M
718,78081,26,homemaker,F
719,13845,33,other or not specified,M
720,76633,25,sales/marketing,M
721,60061,31,executive/managerial,M
722,100551,32,academic/educator,F
723,41933,34,college/grad student,M
724,88578,26,college/grad student,M
725,99935,30,college/grad student,M
726,31192,32,college/grad student,M
727,20124,32,retired,F
728,55219,25,sales/marketing,M
729,913,26,college/grad student,M
730,74942,28,college/grad student,M
731,56463,26,scientist,M
732,44955,27,executive/managerial,M
733,20369,27,self-employed,M
734,99489,32,executive/managerial,F
735,33697,30,sales/marketing,M
736,19374,33,academic/educator,M
737,34829,27,scientist,M
738,52167,33,executive/managerial,M
739,96780,36,clerical/admin,M
740,38062,33,college/grad student,M
741,86853,34,homemaker,F
742,24819,23,sales/marketing,M
743,26965,26,executive/managerial,M
744,11752,33,scientist,M
745,10427,31,college/grad student,M
746,70356,25,self-employed,M
747,52547,28,scientist,F
748,57716,40,artist,M
749,6918,32,tradesman/craftsman,M
750,8012,33,clerical/admin,M
751,4247,28,college/grad student,M
752,5116,32,executive/managerial,M
753,100817,44,executive/managerial,F
754,75547,25,scientist,M
755,55681,18,homemaker,M
756,31161,27,self-employed,M
757,56067,28,homemaker,M
758,49673,31,college/grad student,M
759,80420,31,programmer,M
760,44425,29,college/grad student,M
761,35681,33,college/grad student,M
762,37843,33,other or not specified,M
763,33135,18,clerical/admin,M
764,25960,43,clerical/admin,F
765,42959,26,academic/educator,F
766,75667,27,college/grad student,M
767,59020,26,college/grad student,F
768,40272,28,college/grad student,M
769,52713,78,college/grad student,F
770,92667,31,doctor/health care,F
771,26201,34,executive/managerial,M
772,59332,27,sales/marketing,M
773,12634,31,scientist,M
774,12629,27,sales/marketing,M
775,22434,27,college/grad student,M
776,80753,35,self-employed,F
777,22698,28,executive/managerial,M
778,90330,34,college/grad student,M
779,42414,31,sales/marketing,M
780,15600,26,executive/managerial,M
781,80800,30,programmer,M
782,97787,28,scientist,M
783,65277,29,homemaker,M
784,22030,18,K-12 student,F
785,15643,40,homemaker,M
786,42758,29,college/grad student,M
787,99143,28,scientist,F
788,66961,29,executive/managerial,M
789,24301,19,K-12 student,M
790,96734,34,executive/managerial,M
791,27633,25,executive/managerial,M
792,31789,29,sales/marketing,M
793,70751,28,scientist,M
794,9961,29,retired,M
795,26731,42,other or not specified,M
796,12921,30,other or not specified,M
797,35674,29,sales/marketing,M
798,93173,28,homemaker,M
799,54403,25,other or not specified,F
800,99534,28,college/grad student,M
801,94055,26,scientist,M
802,7068,29,executive/managerial,M
803,11994,34,executive/managerial,M
804,17959,34,scientist,M
805,71590,29,executive/managerial,M
806,21720,32,scientist,M
807,49113,25,executive/managerial,M
808,39547,34,college/grad student,M
809,47945,28,scientist,M
810,3629,42,sales/marketing,M
811,55852,33,executive/managerial,M
812,61274,21,K-12 student,M
813,31359,26,college/grad student,F
814,50482,29,executive/managerial,M
815,39505,31,executive/managerial,M
816,24349,32,college/grad student,M
817,74825,33,executive/managerial,M
818,46615,25,college/grad student,M
819,99351,32,college/grad student,M
820,101890,33,college/grad student,M
821,83844,37,homemaker,F
822,54242,35,executive/managerial,M
823,19685,15,sales/marketing,M
824,54252,27,other or not specified,M
825,96899,26,college/grad student,M
826,86348,43,academic/educator,F
827,56280,32,executive/managerial,M
828,73408,27,college/grad student,F
829,87381,28,other or not specified,M
830,36162,31,other or not specified,M
831,66021,33,college/grad student,M
832,78777,25,college/grad student,F
833,73857,29,scientist,F
834,55141,25,academic/educator,F
835,42930,33,college/grad student,F
836,98918,34,college/grad student,M
837,31729,32,scientist,M
838,71436,31,artist,M
839,4011,33,executive/managerial,M
840,87230,27,college/grad student,M
841,21967,30,customer service,M
842,103154,31,college/grad student,M
843,41252,16,unemployed,M
844,6031,38,self-employed,M
845,39048,51,academic/educator,M
846,77924,25,college/grad student,M
847,58386,29,academic/educator,M
848,40038,29,college/grad student,M
849,100480,19,sales/marketing,M
850,7673,26,executive/managerial,M
851,75130,32,college/grad student,F
852,64567,41,executive/managerial,M
853,94994,54,executive/managerial,M
854,78376,29,executive/managerial,M
855,64065,34,doctor/health care,F
856,365,29,executive/managerial,M
857,55501,33,self-employed,M
858,10822,32,sales/marketing,M
859,90213,25,college/grad student,M
860,65091,28,sales/marketing,F
861,28088,25,executive/managerial,M
862,58146,28,other or not specified,M
863,70531,30,other or not specified,M
864,98015,26,executive/managerial,M
865,62116,29,self-employed,M
866,23219,32,college/grad student,M
867,101954,30,executive/managerial,M
868,33663,28,college/grad student,M
869,73878,32,college/grad student,M
870,83887,25,scientist,M
871,58666,30,artist,M
872,31354,29,other or not specified,F
873,69989,33,college/grad student,F
874,3930,32,scientist,F
875,44083,25,college/grad student,M
876,71671,26,sales/marketing,M
877,76898,34,executive/managerial,F
878,68881,55,executive/managerial,F
879,99053,33,sales/marketing,F
880,74102,27,sales/marketing,M
881,13918,44,lawyer,M
882,37467,25,college/grad student,M
883,32356,32,college/grad student,M
884,79369,25,college/grad student,F
885,95693,24,scientist,M
886,94676,26,executive/managerial,M
887,1982,28,scientist,M
888,63408,29,college/grad student,M
889,29392,28,executive/managerial,M
890,5205,28,other or not specified,M
891,48383,33,college/grad student,M
892,75737,30,college/grad student,F
893,64822,25,other or not specified,M
894,100881,33,executive/managerial,M
895,83435,18,self-employed,M
896,44293,26,executive/managerial,M
897,85339,14,K-12 student,M
898,27916,40,executive/managerial,M
899,14818,33,college/grad student,M
900,9241,29,executive/managerial,F
901,64494,26,self-employed,M
902,13024,33,self-employed,M
903,31625,30,college/grad student,M
904,14181,18,college/grad student,F
905,82584,26,college/grad student,M
906,43790,33,college/grad student,F
907,14606,29,college/grad student,M
908,20850,27,self-employed,M
909,85730,27,sales/marketing,M
910,83080,27,executive/managerial,M
911,9907,33,homemaker,M
912,17275,32,college/grad student,M
913,54916,30,college/grad student,M
914,49668,21,artist,F
915,42598,28,sales/marketing,M
916,91584,33,self-employed,M
917,69594,24,sales/marketing,F
918,20345,33,college/grad student,M
919,19110,32,self-employed,M
920,92192,27,college/grad student,M
921,1063,26,scientist,M
922,98033,32,retired,F
923,19540,30,self-employed,M
924,2659,33,executive/managerial,M
925,185,25,college/grad student,M
926,97539,24,sales/marketing,M
927,100721,27,writer,F
928,16915,31,academic/educator,F
929,50665,32,other or not specified,M
930,82567,34,college/grad student,M
931,57207,28,scientist,M
932,67938,27,executive/managerial,M
933,73440,28,college/grad student,F
934,34709,32,self-employed,M
935,69452,32,clerical/admin,F
936,65017,31,scientist,M
